,pizza_id,pizza_name,pizza_size,pizza_category,pizza_ingredients
47,ital_veggie_s,Italian Vegetables,S,Veggie,"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce"
48,mediterraneo_m,Mediterranean,M,Veggie,"Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions"
50,peppr_salami_s,Pepper Salami,S,Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic"
51,spinach_fet_l,Spinach and Feta,L,Veggie,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic"
52,napolitana_l,Napolitana,L,Classic,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic"
54,sicilian_l,Sicilian,L,Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic"
59,ital_cpcllo_m,Italian Capocollo,M,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano"
61,southw_ckn_s,Southwest Chicken,S,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce"
62,bbq_ckn_m,Barbecue Chicken,M,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
64,pepperoni_m,Pepperoni,M,Classic,"Mozzarella Cheese, Pepperoni"
65,prsc_argla_s,Prosciutto and Arugula,S,Supreme,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese"
66,sicilian_m,Sicilian,M,Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic"
69,veggie_veg_l,Vegetables + Vegetables,L,Veggie,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic"
73,ckn_alfredo_s,Chicken Alfredo,S,Chicken,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce"
77,pepperoni_s,Pepperoni,S,Classic,"Mozzarella Cheese, Pepperoni"
79,green_garden_l,Green Garden,L,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese"
85,green_garden_m,Green Garden,M,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese"
86,pep_msh_pep_l,"Pepperoni, Mushroom, and Peppers",L,Classic,"Pepperoni, Mushrooms, Green Peppers"
93,hawaiian_s,Hawaiian,S,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese"
103,peppr_salami_m,Pepper Salami,M,Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic"
104,ckn_alfredo_m,Chicken Alfredo,M,Chicken,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce"
106,peppr_salami_l,Pepper Salami,L,Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic"
107,spin_pesto_s,Spinach Pesto,S,Veggie,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce"
110,thai_ckn_m,Thai Chicken,M,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
112,classic_dlx_l,Classic Deluxe,L,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
116,ckn_pesto_m,Chicken Pesto,M,Chicken,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce"
121,the_greek_xl,Greek,XL,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
124,hawaiian_l,Hawaiian,L,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese"
127,pep_msh_pep_s,"Pepperoni, Mushroom, and Peppers",S,Classic,"Pepperoni, Mushrooms, Green Peppers"
128,spinach_supr_m,Spinach Supreme,M,Supreme,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese"
129,prsc_argla_m,Prosciutto and Arugula,M,Supreme,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese"
134,mediterraneo_l,Mediterranean,L,Veggie,"Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions"
135,southw_ckn_m,Southwest Chicken,M,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce"
148,pep_msh_pep_m,"Pepperoni, Mushroom, and Peppers",M,Classic,"Pepperoni, Mushrooms, Green Peppers"
151,sicilian_s,Sicilian,S,Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic"
152,spicy_ital_s,Spicy Italian,S,Supreme,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic"
165,thai_ckn_s,Thai Chicken,S,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
169,spinach_supr_l,Spinach Supreme,L,Supreme,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese"
175,ital_veggie_l,Italian Vegetables,L,Veggie,"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce"
194,veggie_veg_m,Vegetables + Vegetables,M,Veggie,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic"
200,the_greek_m,Greek,M,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
212,ckn_pesto_s,Chicken Pesto,S,Chicken,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce"
220,spinach_fet_s,Spinach and Feta,S,Veggie,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic"
237,spicy_ital_m,Spicy Italian,M,Supreme,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic"
243,ital_veggie_m,Italian Vegetables,M,Veggie,"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce"
292,ital_cpcllo_s,Italian Capocollo,S,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano"
358,mediterraneo_s,Mediterranean,S,Veggie,"Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions"
359,spinach_fet_m,Spinach and Feta,M,Veggie,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic"
373,napolitana_m,Napolitana,M,Classic,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic"
378,spin_pesto_m,Spinach Pesto,M,Veggie,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce"
427,brie_carre_s,Brie Carre,S,Supreme,"Brie Carre Cheese, Prosciutto, Caramelized Onions, Pears, Thyme, Garlic"
456,ckn_alfredo_l,Chicken Alfredo,L,Chicken,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce"
573,calabrese_s,Calabrese,S,Supreme,"慛duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic"
591,the_greek_l,Greek,L,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
617,soppressata_m,Soppressata,M,Supreme,"Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic"
621,soppressata_s,Soppressata,S,Supreme,"Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic"
768,calabrese_l,Calabrese,L,Supreme,"慛duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic"
3447,the_greek_xxl,Greek,XXL,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
